ID,Site,Plot,Time,Species,Frequency,YesX,yesY,yes_grid_ref,geometry
36,11,2,3,Pterostichus niger,4,233746,816435,233746  816435,POINT (233746  816435)
37,11,3,1,Carabus violaceus,1,233848,816707,233848  816707,POINT (233848  816707)
37,11,3,1,Pterostichus diligens,13,233848,816707,233848  816707,POINT (233848  816707)
37,11,3,1,Pterostichus niger,4,233848,816707,233848  816707,POINT (233848  816707)
37,11,3,2,Pterostichus diligens,5,233848,816707,233848  816707,POINT (233848  816707)
37,11,3,3,Carabus glabratus,2,233848,816707,233848  816707,POINT (233848  816707)
37,11,3,3,Cychrus caraboides,1,233848,816707,233848  816707,POINT (233848  816707)
37,11,3,3,Pterostichus diligens,1,233848,816707,233848  816707,POINT (233848  816707)
37,11,3,3,Pterostichus niger,7,233848,816707,233848  816707,POINT (233848  816707)
38,12,1,1,Carabus glabratus,2,228676,816354,228676  816354,POINT (228676  816354)
38,12,1,1,Pterostichus niger,1,228676,816354,228676  816354,POINT (228676  816354)
38,12,1,2,Carabus glabratus,1,228676,816354,228676  816354,POINT (228676  816354)
38,12,1,2,Carabus violaceus,2,228676,816354,228676  816354,POINT (228676  816354)
38,12,1,2,Cychrus caraboides,1,228676,816354,228676  816354,POINT (228676  816354)
38,12,1,3,Pterostichus madidus,1,228676,816354,228676  816354,POINT (228676  816354)
39,12,2,1,Agonum ericeti,1,228711,816323,228711  816323,POINT (228711  816323)
39,12,2,1,Bradycellus ruficollis,1,228711,816323,228711  816323,POINT (228711  816323)
39,12,2,1,Pterostichus diligens,5,228711,816323,228711  816323,POINT (228711  816323)
39,12,2,2,Carabus violaceus,1,228711,816323,228711  816323,POINT (228711  816323)
39,12,2,2,Pterostichus diligens,1,228711,816323,228711  816323,POINT (228711  816323)
39,12,2,2,Pterostichus madidus,1,228711,816323,228711  816323,POINT (228711  816323)
39,12,2,3,Carabus violaceus,1,228711,816323,228711  816323,POINT (228711  816323)
40,12,3,1,Pterostichus diligens,1,228610,816350,228610  816350,POINT (228610  816350)
40,12,3,1,Pterostichus rhaeticus,1,228610,816350,228610  816350,POINT (228610  816350)
40,12,3,2,Pterostichus madidus,1,228610,816350,228610  816350,POINT (228610  816350)
40,12,3,2,Pterostichus rhaeticus,1,228610,816350,228610  816350,POINT (228610  816350)
40,12,3,3,Carabus problematicus,1,228610,816350,228610  816350,POINT (228610  816350)
40,12,3,3,Pterostichus diligens,1,228610,816350,228610  816350,POINT (228610  816350)
41,13,4,1,Carabus glabratus,4,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,1,Carabus violaceus,2,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,1,Pterostichus oblongopunctatus,3,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,2,Abax parallelepipidus,1,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,2,Calathus micropterus,1,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,2,Carabus glabratus,3,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,2,Carabus violaceus,6,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,2,Cychrus caraboides,7,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,3,Calathus micropterus,4,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,3,Carabus glabratus,4,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,3,Carabus violaceus,8,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,3,Cychrus caraboides,3,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,3,Loricera pilicornis,1,223910,826257,223910  826257,POINT (223910  826257)
41,13,4,3,Trechus obtusus,2,223910,826257,223910  826257,POINT (223910  826257)
42,13,5,1,Carabus violaceus,1,223873,826234,223873  826234,POINT (223873  826234)
42,13,5,1,Pterostichus oblongopunctatus,1,223873,826234,223873  826234,POINT (223873  826234)
42,13,5,3,Calathus micropterus,1,223873,826234,223873  826234,POINT (223873  826234)
42,13,5,3,Cychrus caraboides,5,223873,826234,223873  826234,POINT (223873  826234)
43,14,4,1,Calathus micropterus,2,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,1,Carabus glabratus,12,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,1,Carabus problematicus,1,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,1,Carabus violaceus,1,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,2,Calathus micropterus,1,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,2,Carabus problematicus,1,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,3,Calathus micropterus,1,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,3,Carabus glabratus,1,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,3,Carabus problematicus,11,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,3,Cychrus caraboides,1,217390,822196,217390  822196,POINT (217390  822196)
43,14,4,3,Trechus obtusus,1,217390,822196,217390  822196,POINT (217390  822196)
44,14,5,1,Carabus glabratus,8,217398,822197,217398  822197,POINT (217398  822197)
44,14,5,1,Cychrus caraboides,3,217398,822197,217398  822197,POINT (217398  822197)
44,14,5,2,Calathus micropterus,1,217398,822197,217398  822197,POINT (217398  822197)
44,14,5,2,Carabus glabratus,1,217398,822197,217398  822197,POINT (217398  822197)
44,14,5,3,Calathus micropterus,2,217398,822197,217398  822197,POINT (217398  822197)
44,14,5,3,Carabus problematicus,3,217398,822197,217398  822197,POINT (217398  822197)
44,14,5,3,Carabus violaceus,1,217398,822197,217398  822197,POINT (217398  822197)
45,15,1,1,Carabus glabratus,3,220711,825142,220711  825142,POINT (220711  825142)
45,15,1,1,Carabus violaceus,2,220711,825142,220711  825142,POINT (220711  825142)
45,15,1,2,Carabus glabratus,1,220711,825142,220711  825142,POINT (220711  825142)
45,15,1,3,Carabus problematicus,1,220711,825142,220711  825142,POINT (220711  825142)
45,15,1,3,Carabus violaceus,2,220711,825142,220711  825142,POINT (220711  825142)
45,15,1,3,Cychrus caraboides,1,220711,825142,220711  825142,POINT (220711  825142)
46,15,2,1,Pterostichus rhaeticus,2,220773,825120,220773  825120,POINT (220773  825120)
46,15,2,2,Pterostichus rhaeticus,1,220773,825120,220773  825120,POINT (220773  825120)
46,15,2,3,Carabus problematicus,1,220773,825120,220773  825120,POINT (220773  825120)
46,15,2,3,Cychrus caraboides,1,220773,825120,220773  825120,POINT (220773  825120)
46,15,2,3,Pterostichus diligens,1,220773,825120,220773  825120,POINT (220773  825120)
46,15,2,3,Pterostichus rhaeticus,3,220773,825120,220773  825120,POINT (220773  825120)
47,15,3,1,Carabus glabratus,5,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,1,Carabus violaceus,2,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,1,Cychrus caraboides,1,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,1,Pterostichus rhaeticus,2,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,2,Carabus glabratus,2,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,2,Pterostichus rhaeticus,1,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,3,Carabus glabratus,1,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,3,Cychrus caraboides,1,220715,825199,220715  825199,POINT (220715  825199)
47,15,3,3,Pterostichus diligens,1,220715,825199,220715  825199,POINT (220715  825199)
48,15,4,1,Carabus glabratus,2,220682,824835,220682  824835,POINT (220682  824835)
48,15,4,2,Carabus glabratus,4,220682,824835,220682  824835,POINT (220682  824835)
48,15,4,2,Carabus problematicus,1,220682,824835,220682  824835,POINT (220682  824835)
48,15,4,3,Carabus glabratus,1,220682,824835,220682  824835,POINT (220682  824835)
48,15,4,3,Carabus problematicus,1,220682,824835,220682  824835,POINT (220682  824835)
49,15,5,1,Carabus glabratus,7,220581,825081,220581  825081,POINT (220581  825081)
49,15,5,1,Carabus problematicus,1,220581,825081,220581  825081,POINT (220581  825081)
49,15,5,1,Carabus violaceus,1,220581,825081,220581  825081,POINT (220581  825081)
49,15,5,2,Carabus glabratus,4,220581,825081,220581  825081,POINT (220581  825081)
49,15,5,3,Carabus glabratus,4,220581,825081,220581  825081,POINT (220581  825081)
49,15,5,3,Carabus problematicus,1,220581,825081,220581  825081,POINT (220581  825081)
49,15,5,3,Cychrus caraboides,1,220581,825081,220581  825081,POINT (220581  825081)
50,16,1,1,Calathus micropterus,4,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,1,Carabus problematicus,2,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,1,Trechus obtusus,10,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,2,Calathus micropterus,1,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,2,Carabus glabratus,1,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,3,Carabus glabratus,3,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,3,Carabus problematicus,4,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,3,Carabus violaceus,1,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,3,Pterostichus diligens,2,222513,824993,222513  824993,POINT (222513  824993)
50,16,1,3,Trechus obtusus,11,222513,824993,222513  824993,POINT (222513  824993)
51,16,2,1,Carabus problematicus,1,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,1,Pterostichus diligens,3,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,1,Pterostichus rhaeticus,6,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,2,Abax parallelepipidus,1,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,2,Cychrus caraboides,1,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,2,Pterostichus diligens,1,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,2,Pterostichus rhaeticus,3,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,3,Agonum ericeti,1,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,3,Carabus glabratus,3,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,3,Carabus problematicus,6,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,3,Carabus violaceus,1,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,3,Cychrus caraboides,2,222581,825048,222581  825048,POINT (222581  825048)
51,16,2,3,Pterostichus diligens,3,222581,825048,222581  825048,POINT (222581  825048)
52,16,3,1,Agonum ericeti,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,1,Pterostichus diligens,10,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,1,Pterostichus madidus,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,1,Pterostichus niger,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,1,Pterostichus rhaeticus,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,2,Abax parallelepipidus,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,2,Pterostichus diligens,2,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Abax parallelepipidus,2,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Carabus glabratus,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Carabus violaceus,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Cychrus caraboides,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Pterostichus diligens,1,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Pterostichus niger,5,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Pterostichus rhaeticus,2,222970,825352,222970  825352,POINT (222970  825352)
52,16,3,3,Trechus obtusus,1,222970,825352,222970  825352,POINT (222970  825352)
